RIAccount,Account,Subaccount,Lawson Account
66,976900,18012,976900-18012
1448,976900,18012,976900-18012
67,976900,18012,976900-18012
1122,976900,18012,976900-18012
1449,976900,18012,976900-18012
1113,976900,18022,976900-18022
2323,976900,18022,976900-18022
100,976900,18013,976900-18013
1462,976900,18013,976900-18013
1140,976900,18011,976900-18011
1828,976900,18011,976900-18011
1831,976900,18011,976900-18011
1172,976900,18011,976900-18011
2332,976900,18011,976900-18011
1206,976900,18011,976900-18011
102,976900,18013,976900-18013
1464,976900,18013,976900-18013
1466,976900,18013,976900-18013
1810,976900,18013,976900-18013
2318,976900,18013,976900-18013
1813,976900,18013,976900-18013
1072,976509,18011,976509-18011
355,976511,18011,976511-18011
357,976511,18012,976511-18012
356,976511,18021,976511-18021
358,976511,18022,976511-18022
362,976511,18031,976511-18031
363,976511,18031,976511-18031
364,976511,18031,976511-18031
1073,976511,18031,976511-18031
1074,976511,18031,976511-18031
1075,976511,18031,976511-18031
1353,976511,18031,976511-18031
1354,976511,18031,976511-18031
1355,976511,18031,976511-18031
1356,976511,18031,976511-18031
1357,976511,18031,976511-18031
1358,976511,18031,976511-18031
365,976511,18032,976511-18032
1076,976511,18032,976511-18032
1756,976900,18011,976900-18011
1771,976900,18011,976900-18011
2246,976900,18011,976900-18011
2267,976900,18011,976900-18011
1,976900,18011,976900-18011
170,976900,18011,976900-18011
855,976900,18011,976900-18011
927,976900,18011,976900-18011
876,976900,18011,976900-18011
61,976900,18012,976900-18012
890,976900,18012,976900-18012
901,976900,18013,976900-18013
99,976900,18013,976900-18013
166,976900,18021,976900-18021
923,976900,18021,976900-18021
115,976900,18031,976900-18031
128,976900,18031,976900-18031
141,976900,18031,976900-18031
931,976900,18031,976900-18031
942,976900,18031,976900-18031
953,976900,18031,976900-18031
1211,976900,18031,976900-18031
1222,976900,18031,976900-18031
1233,976900,18031,976900-18031
1244,976900,18031,976900-18031
1266,976900,18031,976900-18031
1255,976900,18031,976900-18031
154,976900,18032,976900-18032
964,976900,18032,976900-18032
179,976901,0,976901-00000
180,976901,0,976901-00000
1849,976901,0,976901-00000
1850,976901,0,976901-00000
190,976901,0,976901-00000
191,976901,0,976901-00000
1866,976901,0,976901-00000
1867,976901,0,976901-00000
206,976901,0,976901-00000
207,976901,0,976901-00000
1883,976901,0,976901-00000
1884,976901,0,976901-00000
1520,976901,0,976901-00000
1521,976901,0,976901-00000
1533,976901,0,976901-00000
1534,976901,0,976901-00000
1544,976901,0,976901-00000
1545,976901,0,976901-00000
2371,976901,0,976901-00000
2372,976901,0,976901-00000
2390,976901,0,976901-00000
2391,976901,0,976901-00000
2409,976901,0,976901-00000
2410,976901,0,976901-00000
1731,976901,0,976901-00000
1732,976901,0,976901-00000
1733,976901,0,976901-00000
1840,976901,0,976901-00000
1841,976901,0,976901-00000
1844,976901,0,976901-00000
1845,976901,0,976901-00000
1846,976901,0,976901-00000
1847,976901,0,976901-00000
1848,976901,0,976901-00000
1853,976901,0,976901-00000
1854,976901,0,976901-00000
1857,976901,0,976901-00000
1858,976901,0,976901-00000
1861,976901,0,976901-00000
1862,976901,0,976901-00000
1863,976901,0,976901-00000
1864,976901,0,976901-00000
1865,976901,0,976901-00000
1870,976901,0,976901-00000
1871,976901,0,976901-00000
1874,976901,0,976901-00000
1875,976901,0,976901-00000
1878,976901,0,976901-00000
1879,976901,0,976901-00000
1880,976901,0,976901-00000
1881,976901,0,976901-00000
1882,976901,0,976901-00000
1887,976901,0,976901-00000
1888,976901,0,976901-00000
1091,976901,0,976901-00000
1525,976901,0,976901-00000
1526,976901,0,976901-00000
1530,976901,0,976901-00000
2344,976901,0,976901-00000
2345,976901,0,976901-00000
1537,976901,0,976901-00000
1538,976901,0,976901-00000
2350,976901,0,976901-00000
2351,976901,0,976901-00000
1548,976901,0,976901-00000
1549,976901,0,976901-00000
2356,976901,0,976901-00000
2357,976901,0,976901-00000
1095,976901,0,976901-00000
2364,976901,0,976901-00000
2365,976901,0,976901-00000
2369,976901,0,976901-00000
2376,976901,0,976901-00000
2377,976901,0,976901-00000
2383,976901,0,976901-00000
2384,976901,0,976901-00000
2388,976901,0,976901-00000
2395,976901,0,976901-00000
2396,976901,0,976901-00000
2402,976901,0,976901-00000
2403,976901,0,976901-00000
2407,976901,0,976901-00000
2414,976901,0,976901-00000
2415,976901,0,976901-00000
2460,976901,0,976901-00000
2461,976901,0,976901-00000
2462,976901,0,976901-00000
2463,976901,0,976901-00000
2464,976901,0,976901-00000
2465,976901,0,976901-00000
2466,976901,0,976901-00000
2467,976901,0,976901-00000
2468,976901,0,976901-00000
370,976902,0,976902-00000
377,976902,0,976902-00000
378,976902,0,976902-00000
1077,976902,0,976902-00000
1084,976902,0,976902-00000
1085,976902,0,976902-00000
127,976902,0,976902-00000
140,976902,0,976902-00000
153,976902,0,976902-00000
165,976902,0,976902-00000
941,976902,0,976902-00000
952,976902,0,976902-00000
963,976902,0,976902-00000
1221,976902,0,976902-00000
1232,976902,0,976902-00000
1243,976902,0,976902-00000
1254,976902,0,976902-00000
1265,976902,0,976902-00000
1276,976902,0,976902-00000
973,976902,0,976902-00000
1426,976902,0,976902-00000
1427,976902,0,976902-00000
1452,976902,0,976902-00000
1453,976902,0,976902-00000
1482,976902,0,976902-00000
1149,976902,0,976902-00000
1120,976902,0,976902-00000
1121,976902,0,976902-00000
1166,976902,0,976902-00000
1486,976902,0,976902-00000
1146,976902,0,976902-00000
1163,976902,0,976902-00000
1372,976902,0,976902-00000
1720,976902,0,976902-00000
1721,976902,0,976902-00000
1724,976902,0,976902-00000
1725,976902,0,976902-00000
1746,976902,0,976902-00000
1747,976902,0,976902-00000
1748,976902,0,976902-00000
1749,976902,0,976902-00000
24,976902,0,976902-00000
25,976902,0,976902-00000
1394,976902,0,976902-00000
1395,976902,0,976902-00000
2242,976902,0,976902-00000
2243,976902,0,976902-00000
1402,976902,0,976902-00000
1403,976902,0,976902-00000
1404,976902,0,976902-00000
1405,976902,0,976902-00000
60,976902,0,976902-00000
1770,976902,0,976902-00000
1785,976902,0,976902-00000
1788,976902,0,976902-00000
1789,976902,0,976902-00000
1792,976902,0,976902-00000
1793,976902,0,976902-00000
1796,976902,0,976902-00000
1797,976902,0,976902-00000
1800,976902,0,976902-00000
98,976902,0,976902-00000
114,976902,0,976902-00000
167,976902,0,976902-00000
169,976902,0,976902-00000
171,976902,0,976902-00000
173,976902,0,976902-00000
875,976902,0,976902-00000
2266,976902,0,976902-00000
2287,976902,0,976902-00000
2290,976902,0,976902-00000
2291,976902,0,976902-00000
2296,976902,0,976902-00000
2297,976902,0,976902-00000
2302,976902,0,976902-00000
2303,976902,0,976902-00000
2308,976902,0,976902-00000
889,976902,0,976902-00000
900,976902,0,976902-00000
922,976902,0,976902-00000
926,976902,0,976902-00000
930,976902,0,976902-00000
381,976902,0,976902-00000
201,976920,0,976920-00000
202,976920,0,976920-00000
203,976920,0,976920-00000
204,976920,0,976920-00000
205,976920,0,976920-00000
174,976921,0,976921-00000
175,976921,0,976921-00000
176,976921,0,976921-00000
177,976921,0,976921-00000
178,976921,0,976921-00000
217,976922,0,976922-00000
218,976922,0,976922-00000
219,976922,0,976922-00000
220,976923,0,976923-00000
221,976923,0,976923-00000
222,976923,0,976923-00000
223,976924,0,976924-00000
224,976924,0,976924-00000
225,976924,0,976924-00000
226,976925,0,976925-00000
227,976925,0,976925-00000
228,976925,0,976925-00000
229,976926,0,976926-00000
230,976926,0,976926-00000
231,976926,0,976926-00000
232,976927,0,976927-00000
233,976927,0,976927-00000
234,976927,0,976927-00000
1626,976928,0,976928-00000
1627,976928,0,976928-00000
1628,976928,0,976928-00000
1555,976929,0,976929-00000
1556,976929,0,976929-00000
1557,976929,0,976929-00000
1558,976929,0,976929-00000
1559,976929,0,976929-00000
1560,976930,0,976930-00000
1561,976930,0,976930-00000
1562,976930,0,976930-00000
1563,976930,0,976930-00000
1564,976930,0,976930-00000
1565,976931,0,976931-00000
1566,976931,0,976931-00000
1567,976931,0,976931-00000
1568,976931,0,976931-00000
1569,976931,0,976931-00000
1570,976932,0,976932-00000
1571,976932,0,976932-00000
1572,976932,0,976932-00000
1573,976932,0,976932-00000
1574,976932,0,976932-00000
1575,976933,0,976933-00000
1576,976933,0,976933-00000
1577,976933,0,976933-00000
1578,976933,0,976933-00000
1629,976934,0,976934-00000
1630,976934,0,976934-00000
1631,976934,0,976934-00000
1632,976935,0,976935-00000
1633,976935,0,976935-00000
1634,976935,0,976935-00000
1635,976936,0,976936-00000
1636,976936,0,976936-00000
1637,976936,0,976936-00000
1638,976937,0,976937-00000
1639,976937,0,976937-00000
1640,976937,0,976937-00000
1716,976938,0,976938-00000
1714,976938,0,976938-00000
1715,976938,0,976938-00000
1518,976938,0,976938-00000
1519,976938,0,976938-00000
1583,976939,0,976939-00000
1584,976939,0,976939-00000
1579,976939,0,976939-00000
1580,976939,0,976939-00000
1581,976940,0,976940-00000
1582,976940,0,976940-00000
1585,976941,0,976941-00000
1586,976941,0,976941-00000
1587,976941,0,976941-00000
1588,976941,0,976941-00000
1589,976941,0,976941-00000
1592,976942,0,976942-00000
1593,976942,0,976942-00000
1594,976942,0,976942-00000
1595,976942,0,976942-00000
1596,976942,0,976942-00000
1599,976943,0,976943-00000
1600,976943,0,976943-00000
1601,976943,0,976943-00000
1602,976943,0,976943-00000
1603,976943,0,976943-00000
1517,976944,0,976944-00000
1606,976945,0,976945-00000
1607,976945,0,976945-00000
1524,976946,0,976946-00000
1527,976946,0,976946-00000
1532,976946,0,976946-00000
1535,976947,0,976947-00000
1536,976947,0,976947-00000
1539,976947,0,976947-00000
1542,976947,0,976947-00000
1543,976947,0,976947-00000
1546,976948,0,976948-00000
1547,976948,0,976948-00000
1550,976948,0,976948-00000
1553,976948,0,976948-00000
1554,976948,0,976948-00000
1590,976949,0,976949-00000
1591,976949,0,976949-00000
1597,976950,0,976950-00000
1598,976950,0,976950-00000
1604,976951,0,976951-00000
1605,976951,0,976951-00000
1608,976952,0,976952-00000
1609,976952,0,976952-00000
1612,976952,0,976952-00000
1613,976952,0,976952-00000
1610,976952,0,976952-00000
1611,976952,0,976952-00000
1614,976953,0,976953-00000
1615,976953,0,976953-00000
1618,976953,0,976953-00000
1619,976953,0,976953-00000
1616,976953,0,976953-00000
1617,976953,0,976953-00000
1620,976954,0,976954-00000
1621,976954,0,976954-00000
1624,976954,0,976954-00000
1625,976954,0,976954-00000
1622,976954,0,976954-00000
1623,976954,0,976954-00000
994,976955,0,976955-00000
995,976955,0,976955-00000
996,976955,0,976955-00000
997,976956,0,976956-00000
998,976956,0,976956-00000
999,976956,0,976956-00000
1000,976957,0,976957-00000
1001,976957,0,976957-00000
1002,976957,0,976957-00000
1287,976958,0,976958-00000
1288,976958,0,976958-00000
1289,976958,0,976958-00000
1290,976959,0,976959-00000
1291,976959,0,976959-00000
1292,976959,0,976959-00000
1293,976960,0,976960-00000
1294,976960,0,976960-00000
1295,976960,0,976960-00000
1296,976961,0,976961-00000
1297,976961,0,976961-00000
1298,976961,0,976961-00000
1299,976962,0,976962-00000
1300,976962,0,976962-00000
1301,976962,0,976962-00000
1302,976963,0,976963-00000
1303,976963,0,976963-00000
1304,976963,0,976963-00000
235,976964,0,976964-00000
236,976964,0,976964-00000
237,976964,0,976964-00000
181,976965,0,976965-00000
182,976965,0,976965-00000
188,976965,0,976965-00000
1842,976966,0,976966-00000
1843,976966,0,976966-00000
1851,976967,0,976967-00000
1852,976967,0,976967-00000
1891,976967,0,976967-00000
1856,976967,0,976967-00000
1855,976967,0,976967-00000
192,976968,0,976968-00000
193,976968,0,976968-00000
199,976968,0,976968-00000
1859,976969,0,976969-00000
1860,976969,0,976969-00000
1868,976970,0,976970-00000
1869,976970,0,976970-00000
1892,976970,0,976970-00000
1873,976970,0,976970-00000
1872,976970,0,976970-00000
208,976971,0,976971-00000
209,976971,0,976971-00000
215,976971,0,976971-00000
1876,976972,0,976972-00000
1877,976972,0,976972-00000
1885,976973,0,976973-00000
1886,976973,0,976973-00000
1893,976973,0,976973-00000
1890,976973,0,976973-00000
1889,976973,0,976973-00000
1522,976974,0,976974-00000
1523,976974,0,976974-00000
2363,976974,0,976974-00000
1531,976974,0,976974-00000
2366,976974,0,976974-00000
2370,976975,0,976975-00000
2373,976975,0,976975-00000
2343,976975,0,976975-00000
2420,976975,0,976975-00000
2378,976975,0,976975-00000
2382,976976,0,976976-00000
2385,976976,0,976976-00000
2389,976977,0,976977-00000
2392,976977,0,976977-00000
2423,976977,0,976977-00000
2421,976977,0,976977-00000
2397,976977,0,976977-00000
2401,976978,0,976978-00000
2404,976978,0,976978-00000
2408,976979,0,976979-00000
2411,976979,0,976979-00000
2424,976979,0,976979-00000
2422,976979,0,976979-00000
2416,976979,0,976979-00000
1836,976980,0,976980-00000
1834,976980,0,976980-00000
1835,976980,0,976980-00000
1839,976981,0,976981-00000
1837,976981,0,976981-00000
1838,976981,0,976981-00000
1896,976982,0,976982-00000
1894,976982,0,976982-00000
1895,976982,0,976982-00000
2337,976983,0,976983-00000
2335,976983,0,976983-00000
2336,976983,0,976983-00000
2340,976984,0,976984-00000
2338,976984,0,976984-00000
2339,976984,0,976984-00000
2362,976985,0,976985-00000
2360,976985,0,976985-00000
2361,976985,0,976985-00000
379,990911,0,990911-00000
380,990911,0,990911-00000
684,976901,0,976901-00000
685,976901,0,976901-00000
686,976901,0,976901-00000
687,976901,0,976901-00000
688,976901,0,976901-00000
689,976901,0,976901-00000
690,976901,0,976901-00000
691,976901,0,976901-00000
692,976901,0,976901-00000
693,976901,0,976901-00000
1093,976901,0,976901-00000
614,976902,0,976902-00000
620,976902,0,976902-00000
627,976902,0,976902-00000
632,976902,0,976902-00000
645,976902,0,976902-00000
658,976902,0,976902-00000
671,976902,0,976902-00000
683,976902,0,976902-00000
604,976900,18011,976900-18011
605,976900,18011,976900-18011
606,976900,18011,976900-18011
607,976900,18011,976900-18011
608,976900,18011,976900-18011
609,976900,18011,976900-18011
610,976900,18011,976900-18011
611,976900,18011,976900-18011
613,976900,18011,976900-18011
615,976900,18011,976900-18011
616,976900,18011,976900-18011
617,976900,18011,976900-18011
618,976900,18011,976900-18011
619,976900,18011,976900-18011
621,976900,18011,976900-18011
622,976900,18011,976900-18011
623,976900,18011,976900-18011
624,976900,18011,976900-18011
625,976900,18011,976900-18011
626,976900,18011,976900-18011
612,976900,18021,976900-18021
628,976900,18021,976900-18021
629,976900,18021,976900-18021
630,976900,18021,976900-18021
631,976900,18021,976900-18021
733,976511,18031,976511-18031
734,976511,18031,976511-18031
735,976511,18031,976511-18031
633,976900,18031,976900-18031
634,976900,18031,976900-18031
635,976900,18031,976900-18031
636,976900,18031,976900-18031
637,976900,18031,976900-18031
638,976900,18031,976900-18031
639,976900,18031,976900-18031
640,976900,18031,976900-18031
641,976900,18031,976900-18031
643,976900,18031,976900-18031
646,976900,18031,976900-18031
647,976900,18031,976900-18031
648,976900,18031,976900-18031
649,976900,18031,976900-18031
650,976900,18031,976900-18031
651,976900,18031,976900-18031
652,976900,18031,976900-18031
653,976900,18031,976900-18031
654,976900,18031,976900-18031
656,976900,18031,976900-18031
659,976900,18031,976900-18031
660,976900,18031,976900-18031
661,976900,18031,976900-18031
662,976900,18031,976900-18031
663,976900,18031,976900-18031
664,976900,18031,976900-18031
665,976900,18031,976900-18031
666,976900,18031,976900-18031
667,976900,18031,976900-18031
669,976900,18031,976900-18031
736,976511,18032,976511-18032
672,976900,18032,976900-18032
673,976900,18032,976900-18032
674,976900,18032,976900-18032
675,976900,18032,976900-18032
676,976900,18032,976900-18032
677,976900,18032,976900-18032
678,976900,18032,976900-18032
679,976900,18032,976900-18032
681,976900,18032,976900-18032
2169,139300,38041,139300-38041
2170,139300,38041,139300-38041
2171,139300,38041,139300-38041
518,139301,38041,139301-38041
2172,139301,38041,139301-38041
2175,139302,38041,139302-38041
2177,139302,38041,139302-38041
2181,139302,38041,139302-38041
2183,139302,38041,139302-38041
519,139302,38041,139302-38041
521,139302,38041,139302-38041
516,139303,38042,139303-38042
2168,139303,38042,139303-38042
2188,139304,38052,139304-38052
2176,139305,38041,139305-38041
2178,139305,38041,139305-38041
2182,139305,38041,139305-38041
2184,139305,38041,139305-38041
520,139305,38041,139305-38041
522,139305,38041,139305-38041
515,139306,38043,139306-38043
2189,139307,38051,139307-38051
2190,139308,38051,139308-38051
524,139310,38031,139310-38031
1677,139310,38031,139310-38031
1678,139310,38031,139310-38031
1679,139310,38031,139310-38031
1696,139310,38031,139310-38031
1680,139310,38031,139310-38031
1697,139310,38031,139310-38031
525,139310,38032,139310-38032
527,139310,38032,139310-38032
526,139311,38031,139311-38031
1698,139311,38031,139311-38031
2199,139312,38051,139312-38051
2200,139312,38052,139312-38052
2197,139313,38051,139313-38051
2195,139313,38051,139313-38051
2211,139313,38051,139313-38051
2198,139313,38052,139313-38052
2196,139313,38052,139313-38052
2193,139316,38051,139316-38051
2194,139317,38051,139317-38051
2203,139317,38051,139317-38051
2206,139317,38051,139317-38051
2191,139318,38051,139318-38051
2201,139318,38051,139318-38051
2204,139318,38051,139318-38051
383,139319,30000,139319-30000
556,139322,38031,139322-38031
557,139322,38031,139322-38031
558,139322,38031,139322-38031
559,139322,38032,139322-38032
2214,139322,38041,139322-38041
2216,139322,38042,139322-38042
2212,139322,38043,139322-38043
545,139322,38043,139322-38043
2213,139322,38051,139322-38051
2215,139322,38052,139322-38052
560,139324,38031,139324-38031
561,139324,38031,139324-38031
562,139324,38031,139324-38031
563,139324,38032,139324-38032
2217,139324,38041,139324-38041
2218,139324,38041,139324-38041
549,139324,38041,139324-38041
550,139324,38042,139324-38042
548,139324,38043,139324-38043
564,139325,38031,139325-38031
565,139325,38031,139325-38031
566,139325,38031,139325-38031
567,139325,38031,139325-38031
568,139325,38031,139325-38031
569,139325,38031,139325-38031
570,139325,38032,139325-38032
571,139325,38032,139325-38032
2220,139325,38041,139325-38041
2221,139325,38041,139325-38041
2224,139325,38042,139325-38042
2225,139325,38042,139325-38042
2222,139325,38051,139325-38051
2223,139325,38051,139325-38051
2226,139325,38052,139325-38052
2227,139325,38052,139325-38052
529,139327,38031,139327-38031
530,139327,38031,139327-38031
531,139327,38031,139327-38031
532,139327,38031,139327-38031
533,139327,38031,139327-38031
534,139327,38031,139327-38031
535,139327,38032,139327-38032
536,139327,38032,139327-38032
572,139328,38031,139328-38031
573,139328,38031,139328-38031
574,139328,38031,139328-38031
553,139328,38041,139328-38041
528,139329,38040,139329-38040
2187,139336,38051,139336-38051
2207,139341,38051,139341-38051
2208,139341,38051,139341-38051
2209,139341,38051,139341-38051
2210,139342,38051,139342-38051
523,139347,38040,139347-38040
2192,139387,38051,139387-38051
2202,139387,38051,139387-38051
2205,139387,38051,139387-38051
388,139830,30000,139830-30000
2173,139902,0,139902-00000
2174,139902,0,139902-00000
2179,139902,0,139902-00000
2180,139902,0,139902-00000
2185,139902,0,139902-00000
2186,139902,0,139902-00000
2219,139902,0,139902-00000
385,432933,30000,432933-30000
386,433905,30000,433905-30000
387,599003,30000,599003-30000
384,705601,30000,705601-30000
595,139902,0,139902-00000
602,139902,0,139902-00000
603,139902,0,139902-00000
596,139319,30000,139319-30000
601,139830,30000,139830-30000
598,432933,30000,432933-30000
599,433905,30000,433905-30000
600,599003,30000,599003-30000
597,705601,30000,705601-30000
814,139310,38031,139310-38031
1685,139310,38031,139310-38031
1686,139310,38031,139310-38031
1687,139310,38031,139310-38031
1688,139310,38031,139310-38031
1702,139310,38031,139310-38031
1703,139310,38031,139310-38031
816,139311,38031,139311-38031
1704,139311,38031,139311-38031
842,139322,38031,139322-38031
844,139322,38031,139322-38031
846,139322,38031,139322-38031
820,139323,38031,139323-38031
823,139323,38031,139323-38031
826,139323,38031,139323-38031
827,139323,38031,139323-38031
828,139323,38031,139323-38031
829,139323,38031,139323-38031
830,139323,38031,139323-38031
831,139323,38031,139323-38031
835,139324,38031,139324-38031
836,139324,38031,139324-38031
837,139324,38031,139324-38031
839,139328,38031,139328-38031
840,139328,38031,139328-38031
841,139328,38031,139328-38031
818,139338,38031,139338-38031
819,139338,38031,139338-38031
821,139338,38031,139338-38031
822,139338,38031,139338-38031
815,139310,38032,139310-38032
817,139310,38032,139310-38032
848,139322,38032,139322-38032
832,139323,38032,139323-38032
833,139323,38032,139323-38032
838,139324,38032,139324-38032
824,139345,38032,139345-38032
825,139345,38032,139345-38032
850,139332,38041,139332-38041
834,139334,38041,139334-38041
811,139348,38041,139348-38041
812,139348,38041,139348-38041
813,139348,38041,139348-38041
2458,139348,38041,139348-38041
2459,139348,38041,139348-38041
1078,130012,10000,130012-10000
371,130012,10000,130012-10000
238,376000,18013,376000-18013
1003,376000,18013,376000-18013
241,376001,18011,376001-18011
243,376001,18011,376001-18011
242,376001,18011,376001-18011
1642,376001,18011,376001-18011
1643,376001,18011,376001-18011
1644,376001,18011,376001-18011
1645,376001,18011,376001-18011
244,376002,18011,376002-18011
245,376002,18011,376002-18011
1646,376002,18011,376002-18011
1647,376002,18011,376002-18011
1648,376002,18011,376002-18011
1649,376002,18011,376002-18011
1653,376002,18011,376002-18011
1650,376002,18011,376002-18011
1651,376002,18011,376002-18011
1652,376002,18011,376002-18011
1897,376003,18011,376003-18011
1899,376003,18011,376003-18011
1901,376003,18011,376003-18011
1903,376003,18011,376003-18011
2427,376003,18011,376003-18011
2429,376003,18011,376003-18011
2431,376003,18011,376003-18011
2433,376003,18011,376003-18011
246,376003,18011,376003-18011
1007,376003,18011,376003-18011
248,376003,18011,376003-18011
1009,376003,18011,376003-18011
1898,376004,18011,376004-18011
1900,376004,18011,376004-18011
1902,376004,18011,376004-18011
1904,376004,18011,376004-18011
2428,376004,18011,376004-18011
2430,376004,18011,376004-18011
2432,376004,18011,376004-18011
2434,376004,18011,376004-18011
247,376004,18011,376004-18011
1008,376004,18011,376004-18011
249,376004,18011,376004-18011
1010,376004,18011,376004-18011
252,376005,18010,376005-18010
1011,376005,18010,376005-18010
239,376007,18012,376007-18012
240,376007,18012,376007-18012
1004,376007,18012,376007-18012
1641,376007,18012,376007-18012
373,430011,10000,430011-10000
1080,430011,10000,430011-10000
374,433099,10000,433099-10000
1081,433099,10000,433099-10000
1359,433099,10000,433099-10000
1360,433099,10000,433099-10000
1361,433099,10000,433099-10000
1363,433099,10000,433099-10000
1373,433099,10000,433099-10000
376,530099,10000,530099-10000
1083,530099,10000,530099-10000
375,599000,10000,599000-10000
1082,599000,10000,599000-10000
1362,599000,10000,599000-10000
1364,599000,10000,599000-10000
372,705600,10000,705600-10000
1079,705600,10000,705600-10000
258,776000,18031,776000-18031
259,776000,18032,776000-18032
264,776000,18032,776000-18032
265,776000,18032,776000-18032
1023,776000,18032,776000-18032
1024,776000,18032,776000-18032
260,776000,18033,776000-18033
261,776000,18033,776000-18033
262,776000,18033,776000-18033
263,776000,18033,776000-18033
1017,776000,18034,776000-18034
1018,776000,18035,776000-18035
1019,776000,18036,776000-18036
1311,776000,18036,776000-18036
1313,776000,18036,776000-18036
1020,776000,18036,776000-18036
1021,776000,18036,776000-18036
1022,776000,18036,776000-18036
1317,776000,18036,776000-18036
1319,776000,18036,776000-18036
1673,776002,18031,776002-18031
2455,776002,18031,776002-18031
1675,776002,18031,776002-18031
1693,776002,18031,776002-18031
1676,776002,18031,776002-18031
1694,776002,18031,776002-18031
2439,776002,18031,776002-18031
1689,776002,18031,776002-18031
1692,776002,18031,776002-18031
1690,776002,18031,776002-18031
1706,776002,18031,776002-18031
1691,776002,18031,776002-18031
1705,776002,18031,776002-18031
1674,776002,18031,776002-18031
255,776003,18031,776003-18031
1695,776003,18031,776003-18031
1014,776003,18031,776003-18031
1707,776003,18031,776003-18031
1306,776003,18031,776003-18031
269,776004,18021,776004-18021
1656,776004,18021,776004-18021
270,776005,18021,776005-18021
1028,776005,18021,776005-18021
1325,776005,18021,776005-18021
268,776006,18022,776006-18022
1026,776006,18022,776006-18022
254,776008,18032,776008-18032
1013,776008,18032,776008-18032
1670,776009,18021,776009-18021
1671,776009,18021,776009-18021
1672,776009,18021,776009-18021
1717,776009,18021,776009-18021
1718,776009,18021,776009-18021
1719,776009,18021,776009-18021
267,776009,18022,776009-18022
1655,776009,18022,776009-18022
279,776010,18021,776010-18021
1044,776010,18021,776010-18021
281,776010,18021,776010-18021
1734,776010,18021,776010-18021
1735,776010,18022,776010-18022
275,776012,18021,776012-18021
276,776012,18022,776012-18022
1919,776013,18021,776013-18021
1920,776013,18021,776013-18021
2450,776013,18021,776013-18021
2451,776013,18021,776013-18021
274,776013,18021,776013-18021
1035,776013,18021,776013-18021
272,776014,18021,776014-18021
1034,776014,18021,776014-18021
1658,776016,18021,776016-18021
1659,776016,18021,776016-18021
1660,776016,18021,776016-18021
1661,776016,18021,776016-18021
1662,776016,18021,776016-18021
1663,776016,18021,776016-18021
1664,776016,18021,776016-18021
1665,776016,18021,776016-18021
1666,776016,18021,776016-18021
1046,776017,18021,776017-18021
1036,776017,18021,776017-18021
1047,776017,18022,776017-18022
257,776018,18010,776018-18010
1016,776018,18010,776018-18010
1657,776019,18022,776019-18022
1915,776020,18021,776020-18021
1916,776020,18021,776020-18021
2446,776020,18021,776020-18021
2447,776020,18021,776020-18021
271,776020,18021,776020-18021
1029,776020,18021,776020-18021
277,776021,18021,776021-18021
1042,776021,18021,776021-18021
1667,776021,18021,776021-18021
1323,776021,18021,776021-18021
1326,776021,18021,776021-18021
278,776021,18022,776021-18022
1043,776021,18022,776021-18022
1668,776021,18022,776021-18022
280,776022,18022,776022-18022
1045,776022,18022,776022-18022
282,776022,18022,776022-18022
1917,776024,18021,776024-18021
1918,776024,18021,776024-18021
2448,776024,18021,776024-18021
2449,776024,18021,776024-18021
273,776024,18021,776024-18021
1030,776024,18021,776024-18021
1322,776024,18021,776024-18021
1909,776025,18021,776025-18021
1911,776025,18021,776025-18021
1913,776025,18021,776025-18021
2440,776025,18021,776025-18021
2442,776025,18021,776025-18021
2444,776025,18021,776025-18021
1910,776025,18022,776025-18022
1912,776025,18022,776025-18022
1914,776025,18022,776025-18022
2441,776025,18022,776025-18022
2443,776025,18022,776025-18022
2445,776025,18022,776025-18022
256,776036,18032,776036-18032
1015,776036,18032,776036-18032
1307,776036,18032,776036-18032
294,776100,18011,776100-18011
302,776100,18011,776100-18011
298,776100,18012,776100-18012
306,776100,18012,776100-18012
296,776100,18021,776100-18021
304,776100,18021,776100-18021
300,776100,18022,776100-18022
308,776100,18022,776100-18022
286,776102,18011,776102-18011
290,776102,18012,776102-18012
334,776102,18031,776102-18031
336,776102,18031,776102-18031
338,776102,18031,776102-18031
1068,776102,18031,776102-18031
1069,776102,18031,776102-18031
1070,776102,18031,776102-18031
1347,776102,18031,776102-18031
1348,776102,18031,776102-18031
1349,776102,18031,776102-18031
1350,776102,18031,776102-18031
1351,776102,18031,776102-18031
1352,776102,18031,776102-18031
285,776102,18013,776102-18013
288,776102,18021,776102-18021
1071,776102,18032,776102-18032
340,776102,18032,776102-18032
1921,776103,18011,776103-18011
1922,776103,18011,776103-18011
1923,776103,18011,776103-18011
2452,776103,18011,776103-18011
2453,776103,18011,776103-18011
2454,776103,18011,776103-18011
1088,776103,18011,776103-18011
1053,776103,18011,776103-18011
1090,776103,18011,776103-18011
1089,776103,18012,776103-18012
1054,776103,18012,776103-18012
318,776103,18013,776103-18013
1055,776103,18013,776103-18013
330,776103,18031,776103-18031
331,776103,18031,776103-18031
332,776103,18031,776103-18031
1064,776103,18031,776103-18031
1065,776103,18031,776103-18031
1066,776103,18031,776103-18031
1341,776103,18031,776103-18031
1342,776103,18031,776103-18031
1343,776103,18031,776103-18031
1344,776103,18031,776103-18031
1345,776103,18031,776103-18031
1346,776103,18031,776103-18031
