RIAccount,Account,Subaccount,Lawson Account
2017,892900,38043,892900-38043
2028,892900,38043,892900-38043
2080,892900,38041,892900-38041
2049,892900,38051,892900-38051
2052,892900,38051,892900-38051
2055,892900,38051,892900-38051
449,892900,38031,892900-38031
461,892900,38031,892900-38031
473,892900,38031,892900-38031
485,892900,38032,892900-38032
1957,892900,38041,892900-38041
1969,892900,38041,892900-38041
391,892900,38041,892900-38041
2065,892900,38041,892900-38041
419,892900,38042,892900-38042
435,892900,38043,892900-38043
2036,892900,38051,892900-38051
2106,892901,0,892901-00000
2114,892901,0,892901-00000
2115,892901,0,892901-00000
2116,892901,0,892901-00000
2117,892901,0,892901-00000
2118,892901,0,892901-00000
2119,892901,0,892901-00000
2120,892901,0,892901-00000
2121,892901,0,892901-00000
2122,892901,0,892901-00000
2141,892901,0,892901-00000
2142,892901,0,892901-00000
2143,892901,0,892901-00000
2144,892901,0,892901-00000
2145,892901,0,892901-00000
2146,892901,0,892901-00000
2147,892901,0,892901-00000
2148,892901,0,892901-00000
2149,892901,0,892901-00000
1741,892901,0,892901-00000
1742,892901,0,892901-00000
1743,892901,0,892901-00000
2094,892901,0,892901-00000
2095,892901,0,892901-00000
2096,892901,0,892901-00000
2097,892901,0,892901-00000
2098,892901,0,892901-00000
2099,892901,0,892901-00000
2100,892901,0,892901-00000
2101,892901,0,892901-00000
2102,892901,0,892901-00000
2103,892901,0,892901-00000
2104,892901,0,892901-00000
2105,892901,0,892901-00000
2107,892901,0,892901-00000
2108,892901,0,892901-00000
2109,892901,0,892901-00000
2110,892901,0,892901-00000
2111,892901,0,892901-00000
2112,892901,0,892901-00000
2113,892901,0,892901-00000
2123,892901,0,892901-00000
2124,892901,0,892901-00000
2125,892901,0,892901-00000
2126,892901,0,892901-00000
2127,892901,0,892901-00000
2128,892901,0,892901-00000
2129,892901,0,892901-00000
2130,892901,0,892901-00000
2131,892901,0,892901-00000
2132,892901,0,892901-00000
2133,892901,0,892901-00000
